ticket,marital_status,gender,dwelling,adults,children,education,income,occupation,CCAA,response
11dcd7d800ab7731_b981c2388d27d31f_d354b9b5d0b9a155_d9206594f1159af4ee338d842ecd7513,Casado/a,Mujer,Apartamento o piso,4 personas,Ninguna,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Cataluña,25
105a2aa3-edf6-465b-8469-ec8bebe33459_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,4 personas,Ninguna,Formación profesional o técnica,Más de 4000€,Trabajo a tiempo completo,NA,51
30980bda-d28b-425e-92d7-3995af1d15e3_b981c2388d27d31f,Divorciado/a o separado/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,Grado o diplomatura,1501€ - 2000€,Jubilado/a o pensionista,Castilla y León,50
0a949fbb-9d23-42f6-8eee-5662eebb93be_b981c2388d27d31f,Casado/a,Mujer,Dúplex o loft,3 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,Cataluña,19
c91c7198-514c-459c-bd38-1b0013dffa13_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Educación secundaria,1501€ - 2000€,Desempleado/a,Comunidad de Madrid,50
b512ab63-0859-4aa0-971c-1fb3f8592019_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,Educación secundaria,3001€ - 4000€,Trabajo a tiempo completo,Castilla y León,100
f9a33de7-c2db-4a42-8dd5-affdd8790da2_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Jubilado/a o pensionista,Comunidad de Madrid,78
eb53a26e-6f0f-42d0-ae6d-b4c8423d7dec_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Jubilado/a o pensionista,Comunidad de Madrid,30
52a49384-4011-4cac-be00-58c4b22b2ec3_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",2501€ - 3000€,Trabajo a tiempo completo,Comunidad de Madrid,54
4ded6279-eea5-4e02-9eca-5a03aefebbac_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,3 personas,2 niños/as,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Cataluña,25
4cb2fca4-3168-4dd1-a325-03aafdb77343_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,3 personas,1 niño/a,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Cataluña,51
8585af16-bc54-4f0a-952a-000ab5960f94_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,4 personas,Ninguna,Educación secundaria,1001€ - 1500€,Trabajo a tiempo completo,Extremadura,50
cef2a117-1fe3-461a-b9e1-57ab3a4dc2b7_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,1501€ - 2000€,Trabajo a tiempo completo,Comunidad Valenciana,76
ad46ebbf-ea67-4f44-9838-978513149904_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Jubilado/a o pensionista,Galicia,50
67a7cf83b2f24376_b981c2388d27d31f_f1353f2270d0d79a_6d0060845031754f025e02b5c1940a6e,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,Más de 4000€,Trabajo a tiempo completo,Andalucía,25
a734ffac-f9e0-47ec-b1c7-85060ff0f6eb_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,4 personas,1 niño/a,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Cantabria,84
8ea57073-6349-423a-8ad4-e7c6df5037ed_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,3001€ - 4000€,Jubilado/a o pensionista,Galicia,75
7fe8b820-7e4e-40e1-be87-d2200691ca41_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,2501€ - 3000€,Trabajo a tiempo completo,Asturias,25
2ff23c51-bb30-4b0f-b687-446b5aee74f8_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Sin estudios formales,1000€ o menos,Jubilado/a o pensionista,Canarias,72
d3b0d2e9-bb1a-4d54-9c94-d5e69a3a4fe3_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",1001€ - 1500€,Trabajo a tiempo completo,Cataluña,34
59b68195-378a-43dd-8e69-475c0471e6e5_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Comunidad Valenciana,50
70c741f8c7826600_b981c2388d27d31f_522413fc9941c3c5_958a4a39a99d2f79d5e4b481a81228ec,Pareja de hecho o relación estable no matrimonial,Mujer,Casa unifamiliar adosada,4 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Desempleado/a,Andalucía,39
e238703d-4f5e-4ff1-ba9c-9181c2d45590_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,2501€ - 3000€,Jubilado/a o pensionista,Comunidad Valenciana,77
f6c9d262-5565-42d9-9d54-37fab478e33a_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,País Vasco,36
93691202-bb20-4d56-960a-7eabfa796fd7_b981c2388d27d31f,Prefiero no responder,Hombre,Otro,Vivo solo/a,Ninguna,Sin estudios formales,Prefiero no responder,Trabajo a tiempo completo,Andalucía,50
3ada32d0-4db0-48d7-b6bf-fe796ef47adb_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,Educación secundaria,2501€ - 3000€,Trabajo a tiempo completo,Asturias,35
2053f1ed-9c70-4374-8777-7bce5a4c8c02_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Casa unifamiliar adosada,2 personas,Ninguna,Grado o diplomatura,2001€ - 2500€,Trabajo a tiempo completo,Castilla-La Mancha,50
166d8f2fdd3c53ac_b981c2388d27d31f_5d79d8988f2a16b3_91448080aa1f118ae64ec261f213e9fb,Soltero/a,Mujer,Apartamento o piso,4 personas,Ninguna,Formación profesional o técnica,1501€ - 2000€,Trabajo a tiempo completo,Asturias,33
d4fc311f-a290-4a35-9d1c-b962def2351d_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,3 personas,Ninguna,Educación secundaria,3001€ - 4000€,Jubilado/a o pensionista,Comunidad Valenciana,88
c8a37424a39c751c_b981c2388d27d31f_3bda1c49df175b69_64fa9838cfc46a6c25e7966dcad39942,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,2501€ - 3000€,Trabajo a tiempo completo,Comunidad de Madrid,40
f9d64942-1e93-4188-a7ce-249cb50261f8_b981c2388d27d31f,Soltero/a,Mujer,Otro,4 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Estudiante,País Vasco,0
d3cb67f7-25e1-41d8-ab09-c51f56f99757_b981c2388d27d31f,Soltero/a,Hombre,Estudio,Vivo solo/a,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Castilla-La Mancha,69
5c359f67-8bdf-4a84-8659-fc09067c9f95_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Estudiante,Andalucía,50
3294eb32-ec52-4e18-9e3c-c278255c77f7_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,Formación profesional o técnica,1501€ - 2000€,Trabajo a tiempo completo,País Vasco,21
184a77b9-8d38-4afa-95a5-9fae3f02f41c_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Desempleado/a,Andalucía,50
5529c7bf-e556-4017-b479-1e8094f7a867_b981c2388d27d31f,Soltero/a,Hombre,Casa unifamiliar adosada,3 personas,Ninguna,Grado o diplomatura,1000€ o menos,Desempleado/a,Comunidad Valenciana,73
65382f92-c41d-40e7-a2bc-583b628d8d64_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,4 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Estudiante,Comunidad Valenciana,75
09644128-dd9d-44f5-a941-8a44ff9a01dc_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,Cataluña,75
ffc18aec-1691-408e-ae02-8b73e5a44c45_b981c2388d27d31f,Divorciado/a o separado/a,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",1001€ - 1500€,Trabajo a tiempo completo,Comunidad Valenciana,51
594e9506-c7e5-4a3b-a0c6-a5f9ed9798ff_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,Grado o diplomatura,1501€ - 2000€,Trabajo a tiempo parcial,Aragón,76
8205a4b9-58a0-42fb-a00d-682df60cda22_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,1501€ - 2000€,Desempleado/a,Andalucía,54
90702e4c-38db-48ae-b4bb-88f652e7e9dc_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar no adosada,2 personas,Ninguna,Educación secundaria,1501€ - 2000€,Jubilado/a o pensionista,Cantabria,7
333a702fa1b26f8b_b981c2388d27d31f_5d79d8988f2a16b3_c9f282a8e7e55384f05bac307f549abb,Soltero/a,Mujer,Apartamento o piso,4 personas,Ninguna,Formación profesional o técnica,2001€ - 2500€,Trabajo a tiempo completo,Castilla-La Mancha,15
639f91da-b48d-4c3c-81cb-bd027fd50410_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",1001€ - 1500€,Desempleado/a,Canarias,12
b00df5f6-6615-49bf-8710-cf613f6e08f7_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,5 o más personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo parcial,Región de Murcia,45
c4999929-9309-40ca-b775-d33c6e6a6769_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,3 personas,1 niño/a,Formación profesional o técnica,2001€ - 2500€,Trabajo a tiempo parcial,Andalucía,24
61f67f45-a993-47a6-8bdb-7f464f767472_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,5 o más personas,Ninguna,Formación profesional o técnica,Más de 4000€,Desempleado/a,Andalucía,75
eee0a5a3-cdce-4e66-b783-944feee83e8e_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,4 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Comunidad Valenciana,25
20fabd13-d52e-4f06-9ebf-45b2be9fed29_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,1501€ - 2000€,Trabajo a tiempo completo,Galicia,50
08314755-9f09-4e24-84ee-987ee9cbef01_b981c2388d27d31f,Soltero/a,Mujer,Casa unifamiliar adosada,4 personas,Ninguna,Educación secundaria,1501€ - 2000€,Estudiante,Comunidad de Madrid,27
6a991bcd-0dfe-4617-aedb-4c689dfd5780_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,Formación profesional o técnica,1001€ - 1500€,Jubilado/a o pensionista,Andalucía,25
d8d669d2-5802-4747-97b0-de0a86f47038_b981c2388d27d31f,Divorciado/a o separado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Castilla-La Mancha,50
65a9745f-1d34-4658-882b-2736b3029513_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,Educación secundaria,Prefiero no responder,Jubilado/a o pensionista,Región de Murcia,50
a555bc72-8845-47e7-b97a-819db09e915a_b981c2388d27d31f,Viudo/a,Mujer,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,Comunidad Valenciana,76
ec8b93ee-1aca-48a2-9b59-123c78ac75b3_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Desempleado/a,Castilla y León,50
41087da8-7e5c-4280-9fb8-af337344d530_b981c2388d27d31f,Soltero/a,Mujer,Casa unifamiliar adosada,3 personas,Ninguna,Grado o diplomatura,2501€ - 3000€,Estudiante,Castilla y León,50
4872158b-7838-4f4d-936a-14e153ec1101_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Educación secundaria,2501€ - 3000€,Jubilado/a o pensionista,Cataluña,24
cf3c34860d262744_b981c2388d27d31f_9b64caf7fddbdc95_c199dec5beab977394ec74983881b3c7,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,Aragón,17
4e1477e1-8794-4eb2-ac8b-fb9a4beb25ec_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar adosada,2 personas,2 niños/as,Grado o diplomatura,1501€ - 2000€,Trabajo a tiempo completo,Canarias,50
8f701174-aeab-4851-9afe-925b46f61d9c_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,3 personas,Ninguna,Educación secundaria,2001€ - 2500€,Trabajo a tiempo completo,Andalucía,24
e2ec1f43-5b48-4953-a2bf-c94924e7cfdd_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",1501€ - 2000€,Desempleado/a,Región de Murcia,64
f0ef755a-6327-4a90-a4c6-89e7c6ff98e5_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,3 personas,1 niño/a,Educación secundaria,Prefiero no responder,Trabajo a tiempo completo,Islas Baleares,26
23131ac85c5989af_b981c2388d27d31f_4932034a058a6b2c_076fa8dbf754e8fe005cc199da607c65,Casado/a,Hombre,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Jubilado/a o pensionista,País Vasco,51
335f96183f9f6bf4_b981c2388d27d31f_0ff49a297951d31a_44d4132f2ecc3539ee8f5be7c3644298,Casado/a,Hombre,Apartamento o piso,3 personas,Ninguna,Educación secundaria,2001€ - 2500€,Trabajo a tiempo completo,Castilla-La Mancha,27
f5c439a7-6287-4b65-ac6c-b24b7df46976_b981c2388d27d31f,Soltero/a,Mujer,Casa unifamiliar no adosada,4 personas,Ninguna,Educación secundaria,Prefiero no responder,Trabajo a tiempo parcial,Comunidad de Madrid,50
74c1c760-d10f-4083-a0e4-419883d88357_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,2001€ - 2500€,Estudiante,Cataluña,14
0ec5cfdf-ef73-4cf6-a4e2-2371fb790087_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,Educación secundaria,Prefiero no responder,Trabajo a tiempo completo,Castilla-La Mancha,14
4d6b8c20-e369-4e09-ab45-795fd8d3bcec_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,2501€ - 3000€,Trabajo a tiempo completo,Castilla y León,24
67e65b4d-1c94-44d9-bbe4-0fafeb22156d_b981c2388d27d31f,Divorciado/a o separado/a,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",2501€ - 3000€,Trabajo a tiempo completo,Andalucía,52
4563bd16-5581-45e2-b6da-09ff03000c19_b981c2388d27d31f,Soltero/a,Hombre,Casa unifamiliar adosada,4 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Trabajo a tiempo completo,Andalucía,32
e864f7f1-69a1-4b48-b027-eb36cabef5dc_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,4 personas,Ninguna,Grado o diplomatura,1000€ o menos,Desempleado/a,Cataluña,75
306008bd-0575-49ef-b50f-53401543c50a_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,5 o más personas,Ninguna,Formación profesional o técnica,1000€ o menos,Desempleado/a,Andalucía,50
7f2c196c94986fab_b981c2388d27d31f_140fb9f945cf802a_b2a2736c78ea183e247660b46ce9a82c,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,Andalucía,75
34de23a1-1c8a-4ea2-8cc8-57642a8a505c_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Educación secundaria,1001€ - 1500€,Desempleado/a,Castilla-La Mancha,59
4c2d42b25c8c3867_b981c2388d27d31f_a396fc8001405102_67fc993e7d7ceb3bf6a2f543203105b0,Pareja de hecho o relación estable no matrimonial,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,"Máster, licenciatura o superior",1001€ - 1500€,Desempleado/a,Canarias,50
a12cd52945102633_b981c2388d27d31f_dd0ab91abf4c55c4_e10e0ee1a40ac42a04a128ff55435b7a,Soltero/a,Mujer,Apartamento o piso,4 personas,1 niño/a,Grado o diplomatura,2501€ - 3000€,Estudiante,Comunidad de Madrid,50
e9ca7f19-ebb1-4c8e-ad6f-18e5f43eb445_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Desempleado/a,Comunidad Valenciana,26
6b4dc7f1-d334-4229-a883-c63f4ce8bcf1_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,2 personas,2 niños/as,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,País Vasco,64
55cf0fcd-465b-478a-808f-cb704f02f80a_b981c2388d27d31f,Divorciado/a o separado/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",1000€ o menos,Trabajo a tiempo parcial,Cataluña,10
841bb1e0-52db-405b-8adb-e201a37b6008_b981c2388d27d31f,Soltero/a,Mujer,Casa unifamiliar no adosada,3 personas,1 niño/a,Grado o diplomatura,2001€ - 2500€,Trabajo a tiempo completo,Andalucía,50
2a15254f-b6c8-4b69-aade-1f3ec24aad64_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Educación primaria,1501€ - 2000€,Jubilado/a o pensionista,Galicia,25
cc840379-c0b1-4da7-a6d9-079746ff084a_b981c2388d27d31f,Viudo/a,Mujer,Dúplex o loft,3 personas,1 niño/a,Formación profesional o técnica,Prefiero no responder,Jubilado/a o pensionista,Cataluña,24
56f27f22-75c3-467a-8433-386404c657fe_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,Grado o diplomatura,1000€ o menos,Trabajo a tiempo completo,Castilla y León,25
da649ef0-0ae4-45b2-a796-4778e5e864e7_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,Formación profesional o técnica,2001€ - 2500€,Jubilado/a o pensionista,Andalucía,50
fa7c0eb6-9514-47f8-b502-2f00e38264e8_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Educación secundaria,1501€ - 2000€,Jubilado/a o pensionista,Comunidad Foral de Navarra,84
86261f1a-b754-4af1-87b2-a88d4b537aa0_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Educación primaria,2501€ - 3000€,Jubilado/a o pensionista,Canarias,50
76544903-1b0c-4289-b9b1-35e438c2af0e_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,Formación profesional o técnica,Prefiero no responder,Trabajo a tiempo completo,Castilla y León,50
bb33d66534657902_b981c2388d27d31f_f44231dd56f85666_0f8f9a37fb89dae1e8b426fabd8909d2,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Comunidad Valenciana,25
3ea023b1-99c7-4563-af03-733995617bbe_b981c2388d27d31f,Divorciado/a o separado/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",2001€ - 2500€,Estudiante,Comunidad Valenciana,50
ea844353-de00-4fc3-9883-4eb73a89446c_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,Comunidad Valenciana,14
42088280-c348-41e6-b751-5466bc262760_b981c2388d27d31f,Divorciado/a o separado/a,Mujer,Casa unifamiliar no adosada,Vivo solo/a,Ninguna,Educación secundaria,1000€ o menos,Jubilado/a o pensionista,Extremadura,74
57e4f9b8-dc0c-4401-88ee-757f9b8d983c_b981c2388d27d31f,Soltero/a,Mujer,Casa unifamiliar no adosada,3 personas,Ninguna,Grado o diplomatura,Más de 4000€,Estudiante,Cataluña,52
ca73b30d-7dcf-4c43-be88-cc33073e7409_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,2501€ - 3000€,Trabajo a tiempo completo,Extremadura,15
a383e940-761c-479e-b8ce-a0978aa05a1c_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,2001€ - 2500€,Estudiante,Aragón,75
9987d7df-6d7a-40a9-8605-900780613b80_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,4 personas,Ninguna,Educación secundaria,Prefiero no responder,Estudiante,Andalucía,50
5c020722-3508-4c20-932d-2994aef99835_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,1001€ - 1500€,Estudiante,Andalucía,50
8848efb8-d6c4-43bf-a1c2-33345055659b_b981c2388d27d31f,Divorciado/a o separado/a,Hombre,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Jubilado/a o pensionista,Andalucía,75
4761a26d-ad1e-46f3-9341-49682c542ed6_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,3 personas,Ninguna,Educación secundaria,2501€ - 3000€,Jubilado/a o pensionista,Canarias,76
88635bd1241ff397_b981c2388d27d31f_fa975383b0035b89_a4e3dd3d490830fc9996745fc5ca8d76,Soltero/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,Educación secundaria,1501€ - 2000€,Trabajo a tiempo parcial,Extremadura,50
64c6a2fd-6b12-407f-a526-07100faeb257_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,Grado o diplomatura,2501€ - 3000€,Trabajo a tiempo completo,Andalucía,18
37dad813-32f0-4124-8189-5553f7676710_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,Más de 4000€,Estudiante,País Vasco,0
2e6e26e2-f037-467f-a035-97b11e7f729d_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,Grado o diplomatura,2001€ - 2500€,Jubilado/a o pensionista,Asturias,26
ee3dac3d-8f0c-4459-8443-60bd44e4bfaf_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar adosada,3 personas,Ninguna,Educación primaria,3001€ - 4000€,Jubilado/a o pensionista,Andalucía,26
4f30eaca-8c8f-42eb-a34d-e59bfe8786b0_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,Educación secundaria,1000€ o menos,Desempleado/a,Andalucía,50
8cfc3d1d-33a8-44e6-b25c-74ea7fcc80bb_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,Grado o diplomatura,Prefiero no responder,Desempleado/a,Andalucía,75
fad0f8bb-9ade-490d-9dce-126017ab2521_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,4 personas,2 niños/as,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Comunidad de Madrid,84
fd723634883dafb8_b981c2388d27d31f_a396fc8001405102_11af9c6e6218093ef6e1f0733bfb913d,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Jubilado/a o pensionista,Canarias,38
c653748f-ff8d-4401-a3e9-1f4eb3718f6a_b981c2388d27d31f,Soltero/a,Mujer,Ático,4 personas,Ninguna,Educación secundaria,Prefiero no responder,Estudiante,Cataluña,32
247a75ef-d451-4268-adeb-337a01bd3572_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Educación primaria,2001€ - 2500€,Trabajo a tiempo completo,La Rioja,72
b5e7d432-227e-4256-9d36-73b279280c5b_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,1 niño/a,Formación profesional o técnica,1501€ - 2000€,Trabajo a tiempo completo,Andalucía,50
ad57183c-5ef0-4bd5-882c-06ed11bb8d14_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,"Máster, licenciatura o superior",2501€ - 3000€,Trabajo a tiempo completo,Canarias,31
dc5d1ae7-3b90-4228-bfde-4ae9e3de771e_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,4 personas,Ninguna,Formación profesional o técnica,1501€ - 2000€,Trabajo a tiempo completo,Comunidad de Madrid,64
1e5634b0-8c70-4984-a50b-85c2d7d26515_b981c2388d27d31f,Divorciado/a o separado/a,Mujer,Casa unifamiliar adosada,Vivo solo/a,1 niño/a,Formación profesional o técnica,1001€ - 1500€,Trabajo a tiempo completo,Castilla-La Mancha,24
ab0c0782-52e4-44cd-acd3-7f362df0b72d_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Cataluña,29
f56fa21a-8a69-44ae-8108-64dd2cda69e2_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,Castilla y León,44
77de6110-c4ce-453f-99d9-802cfe7bbcc1_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,4 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Trabajo a tiempo completo,Andalucía,50
9547a764-e035-429c-b51c-2913726f448f_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Jubilado/a o pensionista,Asturias,51
297df8b5-6d42-499e-8526-0b98ea0fd7d8_b981c2388d27d31f,Soltero/a,Hombre,Casa unifamiliar no adosada,2 personas,Ninguna,Formación profesional o técnica,1001€ - 1500€,Trabajo a tiempo completo,Castilla y León,50
91441bc6-fa24-4274-b659-fd7eb6f8d4ae_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Jubilado/a o pensionista,Comunidad Valenciana,50
